rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_X4,skillscoremean_X5,skillscoremean_X6,skillscoremean_X7,skillscoremean_X8,skillscoremean_X9,skillscoremean_X10,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_X4,absrelmean_X5,absrelmean_X6,absrelmean_X7,absrelmean_X8,absrelmean_X9,absrelmean_X10,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_X4,absmean_X5,absmean_X6,absmean_X7,absmean_X8,absmean_X9,absmean_X10,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_X4,abssd_X5,abssd_X6,abssd_X7,abssd_X8,abssd_X9,abssd_X10,abssd_total,h_X_1,h_X_2,h_X_3,h_X_4,h_X_5,h_X_6,h_X_7,h_X_8,h_X_9,h_X_10,h_X_1_2,h_X_1_3,h_X_1_4,h_X_1_5,h_X_1_6,h_X_1_7,h_X_1_8,h_X_1_9,h_X_1_10,h_X_2_3,h_X_2_4,h_X_2_5,h_X_2_6,h_X_2_7,h_X_2_8,h_X_2_9,h_X_2_10,h_X_3_4,h_X_3_5,h_X_3_6,h_X_3_7,h_X_3_8,h_X_3_9,h_X_3_10,h_X_4_5,h_X_4_6,h_X_4_7,h_X_4_8,h_X_4_9,h_X_4_10,h_X_5_6,h_X_5_7,h_X_5_8,h_X_5_9,h_X_5_10,h_X_6_7,h_X_6_8,h_X_6_9,h_X_6_10,h_X_7_8,h_X_7_9,h_X_7_10,h_X_8_9,h_X_8_10,h_X_9_10,h_X_1_2_3,h_X_1_2_4,h_X_1_2_5,h_X_1_2_6,h_X_1_2_7,h_X_1_2_8,h_X_1_2_9,h_X_1_2_10,h_X_1_3_4,h_X_1_3_5,h_X_1_3_6,h_X_1_3_7,h_X_1_3_8,h_X_1_3_9,h_X_1_3_10,h_X_1_4_5,h_X_1_4_6,h_X_1_4_7,h_X_1_4_8,h_X_1_4_9,h_X_1_4_10,h_X_1_5_6,h_X_1_5_7,h_X_1_5_8,h_X_1_5_9,h_X_1_5_10,h_X_1_6_7,h_X_1_6_8,h_X_1_6_9,h_X_1_6_10,h_X_1_7_8,h_X_1_7_9,h_X_1_7_10,h_X_1_8_9,h_X_1_8_10,h_X_1_9_10,h_X_2_3_4,h_X_2_3_5,h_X_2_3_6,h_X_2_3_7,h_X_2_3_8,h_X_2_3_9,h_X_2_3_10,h_X_2_4_5,h_X_2_4_6,h_X_2_4_7,h_X_2_4_8,h_X_2_4_9,h_X_2_4_10,h_X_2_5_6,h_X_2_5_7,h_X_2_5_8,h_X_2_5_9,h_X_2_5_10,h_X_2_6_7,h_X_2_6_8,h_X_2_6_9,h_X_2_6_10,h_X_2_7_8,h_X_2_7_9,h_X_2_7_10,h_X_2_8_9,h_X_2_8_10,h_X_2_9_10,h_X_3_4_5,h_X_3_4_6,h_X_3_4_7,h_X_3_4_8,h_X_3_4_9,h_X_3_4_10,h_X_3_5_6,h_X_3_5_7,h_X_3_5_8,h_X_3_5_9,h_X_3_5_10,h_X_3_6_7,h_X_3_6_8,h_X_3_6_9,h_X_3_6_10,h_X_3_7_8,h_X_3_7_9,h_X_3_7_10,h_X_3_8_9,h_X_3_8_10,h_X_3_9_10,h_X_4_5_6,h_X_4_5_7,h_X_4_5_8,h_X_4_5_9,h_X_4_5_10,h_X_4_6_7,h_X_4_6_8,h_X_4_6_9,h_X_4_6_10,h_X_4_7_8,h_X_4_7_9,h_X_4_7_10,h_X_4_8_9,h_X_4_8_10,h_X_4_9_10,h_X_5_6_7,h_X_5_6_8,h_X_5_6_9,h_X_5_6_10,h_X_5_7_8,h_X_5_7_9,h_X_5_7_10,h_X_5_8_9,h_X_5_8_10,h_X_5_9_10,h_X_6_7_8,h_X_6_7_9,h_X_6_7_10,h_X_6_8_9,h_X_6_8_10,h_X_6_9_10,h_X_7_8_9,h_X_7_8_10,h_X_7_9_10,h_X_8_9_10,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.680649865754577,0.752004452692768,0.769318954631005,0.72107471244822,0.705150315098091,0.672718229819732,0.720086993826673,0.660144631161357,0.736913480360429,0.745662825456338,0.716372446124919,1.59538090052294,0.0761467767712338,0.0736099136622211,0.0773650772187489,0.0844470795004355,0.132440369238612,0.0712872626090599,0.0891038287886332,0.0791418710764331,12.3642842275767,1.4643207306965,0.0973709994624135,0.0890434966156244,0.0798529509706188,0.0872538230295904,0.106969145725766,0.101800062226864,0.0850794969808847,0.110176803024238,0.0911059483117214,0.103303398691908,0.095195612503963,0.0715744577946593,0.0693557387328649,0.0656330049252927,0.0814391202132817,0.0833272211852993,0.0814566185983184,0.076469224697924,0.114236884480654,0.0775822788429213,0.0959270919247876,0.0829976357523658,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,203.893,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
comb_sigma.01,0.829153524450419,0.876083274460157,0.848609381258063,0.834539444425779,0.821010576206855,0.81178521097545,0.809729575237611,0.743461161988436,0.830762125853782,0.834617825091534,0.823975209994809,0.307231047609351,0.0379230508578655,0.0494817766498373,0.0444558213917609,0.0514823054690342,0.0868488058767054,0.0478262371220957,0.0679246550898857,0.0515279563115532,9.76744013847505,1.05121417948531,0.0520917021632094,0.0444926477553113,0.0524056392950453,0.0517596169252694,0.0649359546152115,0.0585436739240373,0.0578326539749975,0.0831666397392902,0.0586064882209641,0.067172802331227,0.0591007818944563,0.0399700300422229,0.0356546344701614,0.0373494348374638,0.0437840934638827,0.0506229533105807,0.0480541157870057,0.0464982251545481,0.0895284675090736,0.0463771703485825,0.0550478342064609,0.052169131619518,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1545.843,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
comb_independence,0.375142721348558,0.388902075527971,0.329363023827737,0.310430047352764,0.363913075261863,0.311907520822811,0.384603755676401,0.362163590984418,0.377674705123026,0.379253857882866,0.358335437380842,1.45693139370126,0.162955221062763,0.205476496685761,0.173147658997566,0.161424144855118,0.223009859407349,0.138909836854439,0.145633693091952,0.182307930172656,16.274755804886,1.91245520397148,0.190521221753727,0.219416423239763,0.232148859442292,0.215712297522093,0.230767331391941,0.2140292053526,0.187049553812289,0.206778479439477,0.21550908889522,0.252126675231984,0.216405913608138,0.149382587577942,0.152988532577928,0.152215996891017,0.145181533229265,0.151360394631313,0.156917301894423,0.147140788584984,0.175516560326468,0.144088049014224,0.181943942236559,0.156524700785975,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1934.37,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
comb_AIC_each_k,0.884974372498133,0.891750830791253,0.845287481113059,0.818706279048306,0.85141032068268,0.808576480305345,0.853697647835845,0.79745639247972,0.916497804737471,0.90433671818588,0.857269432767769,0.0352513840830268,0.0318977776097501,0.0463254606840581,0.0469905714294609,0.0437388848609072,0.0672166018712632,0.0372023613288777,0.0525617874799965,0.0281315427475489,13.0104472880003,1.33997636600952,0.0350717257098151,0.0388671677243543,0.0535555540138034,0.0567125712521081,0.0539071665127506,0.0595417404576727,0.044468567929062,0.065662070385522,0.0289165202988186,0.0388552800397802,0.0475558364323687,0.0259446300280303,0.0285056631155453,0.0423413429312427,0.0390890026149626,0.0340677637595283,0.0379412991075611,0.0364584123260499,0.0563576452610289,0.021946404067593,0.0411118327021996,0.0390562599191237,0.33504774767992,0.33504774767992,0.33504774767992,0.33504774767992,0.33504774767992,0.33504774767992,0.33504774767992,0.33504774767992,0.33504774767992,0.33504774767992,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.227037357407472,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,0.189425887932786,52651.32,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
empirical_independence,0,0,0,0,0,0,0,0,0,0,0,2.36254646016791,0.269753075719817,0.306821970832664,0.250343269737783,0.257311978710822,0.316848211708996,0.227410312944461,0.228041212096371,0.292576973821945,7.15146387527213,1.16631173410129,0.304903580806336,0.359052803900999,0.346161735321109,0.312821486339393,0.362792131730962,0.311047151116276,0.303949781198098,0.324187325334113,0.346296527988346,0.406167123926173,0.33773796476618,0.232407750656113,0.245372045504931,0.212364121959158,0.208908012527243,0.246951991085677,0.23366025192529,0.229247022086574,0.279684126490407,0.230054836481827,0.289209433099231,0.242953857480348,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,194.725999999995,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
Gaussian,0.912883123705155,0.923235677866298,0.895955765044305,0.859314268856045,0.881044791707471,0.895914750632227,0.865581968971175,0.835096264469131,0.910719806107067,0.934271616968546,0.891401803432742,0.21938449303403,0.0244308081270413,0.0323749361184833,0.0374019042671411,0.0372079668179738,0.0388263531871352,0.0338699000008398,0.0461017095520149,0.0280078161669895,2.26574155268311,0.276334743995475,0.0265622475309608,0.0275624451016652,0.0360161329224204,0.0440095195231961,0.0431560135969472,0.0323754202890729,0.0408563311202905,0.0534597009593564,0.030917421163249,0.0266967082962035,0.0361611940503362,0.0200398008006401,0.0232406730320488,0.0245910228993697,0.0296029812686201,0.0276801123024871,0.022859642158515,0.0323461454642402,0.0338364887462473,0.0245241784200949,0.0187371017199018,0.027429012602606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.339,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
copula,0.908426508513561,0.921455959383848,0.892408702151277,0.851013671643975,0.879193611510542,0.888036442399397,0.841794156870539,0.83717296514682,0.927779482437319,0.92423875745702,0.88715202575143,0.337843108645275,0.0242801504112168,0.033640784153338,0.0396992525349842,0.0362436084837848,0.041767133240034,0.0412584681121786,0.0457745823560678,0.0201723386812204,3.26854735238057,0.388922677899867,0.0279210854611538,0.0282014580129434,0.0372439903687644,0.0466061246805806,0.0438276072068093,0.0348259456205107,0.0480866314034603,0.0527864609211368,0.0250097144814779,0.0307717259887556,0.0375280744145593,0.0199177914132058,0.0224903588640919,0.0272318985534474,0.0324622387403273,0.0299165240973269,0.0266788091527325,0.0354738083239211,0.0310775232319003,0.021764674656112,0.021751301170079,0.028748239905049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.6,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
treeSHAP,0.2262368096762,0.220434673518898,0.116858498433233,0.130017739273077,0.346742887159275,0.196663226610071,0.249915751710477,0.206492376715927,0.130068983722559,0.00201041001950221,0.182544135683922,2.50317254749409,0.222772920436307,0.272600060071477,0.217441357579877,0.192273640507177,0.265712737125614,0.174978150417878,0.189758647872508,0.255507274541102,2.38126905447545,0.667548639052148,0.235923167425861,0.279905116297038,0.305709794716442,0.272149143889501,0.2369965405359,0.249875614749879,0.227987943147741,0.257245114024693,0.301254090526251,0.40535056147064,0.277239708678394,0.198521106925108,0.201934214040295,0.200583426205685,0.18915138766961,0.19699799890902,0.208652391323188,0.195776753826291,0.241114355813782,0.212614439295975,0.291300137542731,0.220371926307859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0570000000006985,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.2,1,0.1,2000,100,1,1000,1235,rNk7w,2019-01-18T15:46:17.794003Z
empirical_sigma.01,0.759740792843673,0.83624601573525,0.808926119354104,0.792336404763508,0.781725992511966,0.794852369968631,0.801864320762591,0.818996080724153,0.815911349513435,0.787917950851929,0.799851739702924,0.147052224030868,0.116839830612335,0.119615583846326,0.129564390942167,0.147309780625686,0.216625946193452,0.0844267542548456,0.108738973312487,0.090175819492134,1.13233377136977,0.229268307468007,0.111290919716275,0.0902124373355317,0.0958882231496728,0.0978008794193603,0.115975515965054,0.0943212829188843,0.0901063563557801,0.0902965162951645,0.0942700419671362,0.133377352126811,0.101353952524967,0.0816901296785457,0.0775018121779836,0.0839292824209082,0.0885190843453301,0.0910698607761906,0.0752594679798149,0.0669790709144331,0.071789814772012,0.0807011573064097,0.138071716525272,0.0882594789787876,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,203.47,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,eZ60z,2019-01-18T15:46:17.800525Z
comb_sigma.01,0.86990348464377,0.907236367346625,0.905541446149769,0.877462858793206,0.864524196587236,0.888425092173275,0.87755358340417,0.869654778254475,0.891855887979669,0.875548614284577,0.882770630961677,0.0708245751795172,0.0637711025225933,0.0480040584773914,0.0711367233768883,0.0649121163603418,0.144109336004401,0.0704452642946213,0.0758274257669688,0.0554962180699084,0.309765966449321,0.0974292786501952,0.0602622518289453,0.0511036933564263,0.047402935761649,0.0577098752331186,0.0719823509101825,0.0512990983428069,0.0556850764624378,0.065024666241645,0.055379568222753,0.0782668611601654,0.059411637752013,0.0464402384785789,0.0402106464880354,0.0383079988248842,0.0469774009220252,0.0459628173788609,0.0403737340012026,0.0435422725866057,0.057982934586438,0.0456795098284587,0.0897481002484061,0.0521622912442752,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1548.35,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,10,FALSE,0.4,1,0.1,2000,100,1,1000,1235,eZ60z,2019-01-18T15:46:17.800525Z
